classifers,accuracy,hamming loss,precision,recall,F1 score
10,82.5,0.1,0.925,0.88,0.9024
20,85,0.0875,0.9375,0.8928,0.9146
30,80,0.1125,0.9125,0.8687,0.8899
40,86.25,0.08125,0.9375,0.9039,0.92
50,82.5,0.1,0.925,0.88,0.9024
60,83.75,0.09375,0.9375,0.8823,0.909
10,81.25,0.09375,0.9125,0.9,0.907
20,82.5,0.09375,0.9375,0.883,0.909
30,82.5,0.1,0.925,0.881,0.902
40,82.5,0.1,0.925,0.881,0.902
50,82.5,0.1,0.9125,0.89,0.901
60,82.5,0.09375,0.9375,0.8823,0.909
10,80,0.11875,0.9,0.869,0.884
20,76.25,0.13125,0.875,0.864,0.868
30,76.25,0.13125,0.925,0.831,0.8756
40,85,0.0875,0.95,0.884,0.9155
50,78.75,0.1125,0.95,0.845,0.894
60,81.25,0.10625,0.925,0.87,0.897
